categoria,archivo_imagen,descripcion,ficha_tecnica,codigo,imagen_nombre
Toyota,TAPA_BOCINA_AUTOELEVADOR_TOYOTA_SERIE_8_-_comprar_online.webp,TAPA BOCINA AUTOELEVADOR TOYOTA SERIE 8,"TAPA BOCINA AUTOELEVADOR TOYOTA SERIE 8
CODIGO 45121-12472-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",45121-12472-71,TAPA_BOCINA_AUTOELEVADOR_TOYOTA_SERIE_8.webp
Toyota,BOMBA_COMBUSTIBLE_NAFTA_AUTOELEVADOR_MOTOR_TOYOTA_5K_-_comprar_online.webp,BOMBA COMBUSTIBLE NAFTA AUTOELEVADOR MOTOR TOYOTA 5K,"Bomba Nafta autolelevador Toyota Motor 5K
Codigo Repuesto 23100-78120-71
5K/5-7FG,FG10-18T16/C16",Repuesto,BOMBA_COMBUSTIBLE_NAFTA_AUTOELEVADOR_MOTOR_TOYOTA_5K.webp
Toyota,TAPA_GRASERA_DE_MAZA_TRASERA_AUTOELEVADOR_TOYOTA_-_comprar_online.webp,TAPA GRASERA DE MAZA TRASERA AUTOELEVADOR TOYOTA,"TAPA GRASERA DE MAZA TRASERA AUTOELEVADOR TOYOTA
CODIGO 43821-20540-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",43821-20540-71,TAPA_GRASERA_DE_MAZA_TRASERA_AUTOELEVADOR_TOYOTA.webp
Toyota,JUEGO_JUNTAS_TRANSMISION_AUTOELEVADOR_TOYOTA_SERIE_7_-_comprar_online.webp,JUEGO JUNTAS TRANSMISION AUTOELEVADOR TOYOTA SERIE 7,"Juego de Juntas Sellos Aros Retenes Autoelevador TOYOTA
Con este kit podes reparar el convertidor de tu autoelevador toyota
Si tenes alguna duda , pasanos modelo y serie de tu autoelevador CODIGO 04321-20830-71
CODIGO 3201 01K
APLICA Toy. 7FD10-30(0211-0609),
7FG10-30(0211-0609),
7FDK20-30,
7FGK20-30,
7FDN15-30,
7FGN15-30",04321-20830-71,JUEGO_JUNTAS_TRANSMISION_AUTOELEVADOR_TOYOTA_SERIE_7.webp
Toyota,JUEGO_JUNTAS_TRANSMISION_AUTOELEVADOR_TOYOTA_3000KG_2500KG_1800KG_SERIE_7_-_comprar_online.webp,JUEGO JUNTAS TRANSMISION AUTOELEVADOR TOYOTA 3000KG 2500KG 1800KG SERIE 7,"Juego de Juntas Sellos Aros Retenes Autoelevador TOYOTA
Con este kit podes reparar el convertidor de tu autoelevador toyota
CODIGO 04321-20681-71
CODIGO 3201 01K
APLICA 7FD10-30(0003-0210)
7FG10-30(0003-0210),
7FDK20-30,
7FGK20-30,
7FDF15-30,
7FGF15-30,
7FDU15-30,
7FGU15-30",04321-20681-71,JUEGO_JUNTAS_TRANSMISION_AUTOELEVADOR_TOYOTA_3000KG_2500KG_1800KG_SERIE_7.webp
Toyota,BULBO_FRENO_STOP_AUTOELEVADOR_TOYOTA_SERIE_8_-_SERIE_Z_-_comprar_online.webp,BULBO FRENO STOP AUTOELEVADOR TOYOTA SERIE 8 - SERIE Z,"BULBO FRENO STOP AUTOELEVADOR TOYOTA SERIE 8 - SERIE Z
CODIGO 57420-26600-71
CODIGO 5701 33
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",57420-26600-71,BULBO_FRENO_STOP_AUTOELEVADOR_TOYOTA_SERIE_8_SERIE_Z.webp
Toyota,CAPTOR_ENCENDIDO_AUTOELEVADOR_TOYOTA_MOTOR_4Y_SERIE_8_-_comprar_online.webp,CAPTOR ENCENDIDO AUTOELEVADOR TOYOTA MOTOR 4Y SERIE 8,"CAPTOR ENCENDIDO AUTOELEVADOR TOYOTA MOTOR 4Y SERIE 8
Código 19144-76006-71
Codigo 1902 AY
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",1902,CAPTOR_ENCENDIDO_AUTOELEVADOR_TOYOTA_MOTOR_4Y_SERIE_8.webp
Toyota,TAPA_DISTRIBUIDOR_AUTOELEVADOR_MOTOR_TOYOTA_4P_3P_5R_-_comprar_online.webp,TAPA DISTRIBUIDOR AUTOELEVADOR MOTOR TOYOTA 4P/3P/5R,"TAPA DISTRIBUIDOR AUTOELEVADOR MOTOR TOYOTA 4P/3P/5R
CODIGO 19101-76001-71",19101-76001-71,TAPA_DISTRIBUIDOR_AUTOELEVADOR_MOTOR_TOYOTA_4P_3P_5R.webp
Toyota,TAPA_DISTRIBUIDOR_AUTOELEVADOR_MOTOR_TOYOTA_4Y_-_comprar_online.webp,TAPA DISTRIBUIDOR AUTOELEVADOR MOTOR TOYOTA 4Y,"Tapa distribuidor autoelevador TOYOTA Motor 4Y
CODIGO 19101-76007-71
Aplicacion
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",19101-76007-71,TAPA_DISTRIBUIDOR_AUTOELEVADOR_MOTOR_TOYOTA_4Y.webp
Toyota,BOBINA_ENCENDIDO_AUTOELEVADOR_TOYOTA_MOTOR_NAFTERO_4Y_-_comprar_online.webp,BOBINA ENCENDIDO AUTOELEVADOR TOYOTA MOTOR NAFTERO 4Y,"BOBINA ENCENDIDO AUTOELEVADOR TOYOTA MOTOR NAFTERO 4Y
CODIGO 80919-76002-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",80919-76002-71,BOBINA_ENCENDIDO_AUTOELEVADOR_TOYOTA_MOTOR_NAFTERO_4Y.webp
Toyota,CORREA_VENTILADOR_AUTOELEVADOR_MOTOR_TOYOTA_1DZ_-_comprar_online.webp,CORREA VENTILADOR AUTOELEVADOR MOTOR TOYOTA 1DZ,"CORREA VENTILADOR AUTOELEVADOR MOTOR TOYOTA 1DZ
Codigo 89343-76001-71
APLICACIONES
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",89343-76001-71,CORREA_VENTILADOR_AUTOELEVADOR_MOTOR_TOYOTA_1DZ.webp
Toyota,VALVULA_SOLENOIDE_EQUIPO_GLP_GAS_AUTOELEVADOR_TOYOTA_SERIE_8_-_comprar_online.webp,VALVULA SOLENOIDE EQUIPO GLP GAS AUTOELEVADOR TOYOTA SERIE 8,"VALVULA SOLENOIDE EQUIPO GLP GAS AUTOELEVADOR TOYOTA SERIE 8
Codigo 2314 49
Codigo 26208-76001-71
APLICACIONES
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30",2314,VALVULA_SOLENOIDE_EQUIPO_GLP_GAS_AUTOELEVADOR_TOYOTA_SERIE_8.webp
Toyota,KIT_FRENO_IZQUIERDO_AUTOELEVADOR_TOYOTA_SERIES_6_A_8_2500KG_3000KG_-_(copia)_-_comprar_online.webp,KIT FRENO IZQUIERDO AUTOELEVADOR TOYOTA SERIES 6 A 8 2500KG 3000KG - (copia),"KIT FRENO IZQUIERDO AUTOELEVADOR TOYOTA SERIES 6 A 8 2500KG 3000KG
Incluye todoa los items que figuran en la foto, lado IZQUIERDO.
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,KIT_FRENO_IZQUIERDO_AUTOELEVADOR_TOYOTA_SERIES_6_A_8_2500KG_3000KG_(copia).webp
Toyota,KIT_2_CONOS_Y_CUBETAS_DE_MAZA_TRASERA_AUTOELEVADOR_TOYOTA_SERIE_8_7_Z_-_comprar_online.webp,KIT 2 CONOS Y CUBETAS DE MAZA TRASERA AUTOELEVADOR TOYOTA SERIE 8/7/Z,"KIT 2 CONOS Y CUBETAS DE MAZA TRASERA AUTOELEVADOR TOYOTA SERIE 8/7/Z
Incluye 1 Cono y Cubeta 4301-44A y 1 Cono y Cubeta 4301-44B
CODIGO 97600-32209-71 / 97600-30306-71
CODIGO 4301-44A / 4301-44B
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",97600-32209-71,KIT_2_CONOS_Y_CUBETAS_DE_MAZA_TRASERA_AUTOELEVADOR_TOYOTA_SERIE_8_7_Z.webp
Toyota,CABLEADO_DE_VALVULA_SOLENOIDE_MARCHAS_AUTOELEVADOR_TOYOTA_-_comprar_online.webp,CABLEADO DE VALVULA SOLENOIDE MARCHAS AUTOELEVADOR TOYOTA,"CABLEADO DE VALVULA SOLENOIDE MARCHAS AUTOELEVADOR TOYOTA
Código 32620-23330-71
Código 3206 HJ
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,CABLEADO_DE_VALVULA_SOLENOIDE_MARCHAS_AUTOELEVADOR_TOYOTA.webp
Toyota,MODULO_ENCENDIDO_AUTOELEVADOR_TOYOTA_MOTOR_4Y_-_comprar_online.webp,MODULO ENCENDIDO AUTOELEVADOR TOYOTA MOTOR 4Y,"MODULO ENCENDIDO AUTOELEVADOR TOYOTA MOTOR 4Y
Código 89620-76001-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,MODULO_ENCENDIDO_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp
Toyota,BENDIX_MOTOR_ARRANQUE_AUTOELEVADOR_TOYOTA_DIESEL_1DZ_-_comprar_online.webp,BENDIX MOTOR ARRANQUE AUTOELEVADOR TOYOTA DIESEL 1DZ,"BENDIX MOTOR ARRANQUE AUTOELEVADOR TOYOTA DIESEL 1DZ
Puedo reparar mi arranque TOYOTA ¿
Claro , habitualmente el bendix es el parte que mas sufre daño en el arranque , podes cambiarlo.
Código 28011-76004-71
11 DIENTES
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",,BENDIX_MOTOR_ARRANQUE_AUTOELEVADOR_TOYOTA_DIESEL_1DZ.webp
Toyota,RELAY_PRECALENTAMIENTO_BUJIAS_AUTOELEVADOR_MOTOR_TOYOTA_DIESEL_1DZ_-_comprar_online.webp,RELAY PRECALENTAMIENTO BUJIAS AUTOELEVADOR MOTOR TOYOTA DIESEL 1DZ,"RELAY PRECALENTAMIENTO BUJIAS AUTOELEVADOR MOTOR TOYOTA DIESEL 1DZ
Código 28610-54360
Código 2701-03
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",,RELAY_PRECALENTAMIENTO_BUJIAS_AUTOELEVADOR_MOTOR_TOYOTA_DIESEL_1DZ.webp
Toyota,INTERRUPTOR_REVOLUCIONES_MOTOR_AUTOELEVADOR_TOYOTA_4Y_SERIE_8_Z_7_-_comprar_online.webp,INTERRUPTOR REVOLUCIONES MOTOR AUTOELEVADOR TOYOTA 4Y SERIE 8/Z/7,"INTERRUPTOR REVOLUCIONES MOTOR AUTOELEVADOR TOYOTA 4Y SERIE 8/Z/7
Código 23690-23000-71
Código 5701-KP
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,INTERRUPTOR_REVOLUCIONES_MOTOR_AUTOELEVADOR_TOYOTA_4Y_SERIE_8_Z_7.webp
Toyota,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_93X120X12_-_comprar_online.webp,RETEN MAZA DELANTERA AUTOELEVADOR TOYOTA 93X120X12,"Reten MAZA DELANTERA AUTOELEVADOR TOYOTA 8FDU25
Código 42415-22800-71
Código 4201-41A DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
93M 120MM 12MM",,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_93X120X12.webp
Toyota,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_-_TAILIFT90X118X12_-_comprar_online.webp,RETEN MAZA DELANTERA AUTOELEVADOR TOYOTA - TAILIFT90X118X12,"Reten MAZA DELANTERA AUTOELEVADOR TOYOTA / TAILIFT
Código 42415-20540-71
Código 4201-41A DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
90M 118MM 12MM",,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_TAILIFT90X118X12.webp
Toyota,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_95x128x12_-_comprar_online.webp,RETEN MAZA DELANTERA AUTOELEVADOR TOYOTA 95x128x12,"Reten MAZA DELANTERA AUTOELEVADOR TOYOTA
Código 42415-23420-71
Código 4201-41A DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
95M 128MM 12MM
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_95x128x12.webp
Toyota,RETEN_PALIER_AUTOELEVADOR_TOYOTA_42X53X7_-_comprar_online.webp,RETEN PALIER AUTOELEVADOR TOYOTA 42X53X7,"Reten PALIER AUTOELEVADOR TOYOTA
Código 42125-23320-71
Código 4201-40C
DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
42M 53M 7MM
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,RETEN_PALIER_AUTOELEVADOR_TOYOTA_42X53X7.webp
Toyota,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_75x105x12_-_comprar_online.webp,RETEN MAZA DELANTERA AUTOELEVADOR TOYOTA 75x105x12,"Reten MAZA DELANTERA AUTOELEVADOR TOYOTA
Código 42415-10840-71
Código 4201-41A DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
75M 105MM 12MM
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,RETEN_MAZA_DELANTERA_AUTOELEVADOR_TOYOTA_75x105x12.webp
Toyota,VALVULA_VENTEO_AUTOELEVADOR_TOYOTA_MOTOR_4Y_-_comprar_online.webp,VALVULA VENTEO AUTOELEVADOR TOYOTA MOTOR 4Y,"Valvula Venteo Autoelevador TOYOTA 4Y
CODIGO 12204-76014-71
CODIGO 120 21
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30SERIE8
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",12204-76014-71,VALVULA_VENTEO_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp
Toyota,BULBO_ACEITE_AUTOELEVADOR_MOTOR_TOYOTA_4Y___1DZ_-_comprar_online.webp,BULBO ACEITE AUTOELEVADOR MOTOR TOYOTA 4Y / 1DZ,"BULBO PRESION ACEITE.
Aplica a Motores
TOYOTA 1DZ Diesel
TOYOTA 4Y Nafta
NISSAN H20
NISSAN K21
NISSAN K25
MITSUBISHI S4S DIESEL
MITSUBISHI S4Q2 DIESEL
MITSUBISHI 4G63/4G64 NAFTA
CODIGO 83530-78202-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",83530-78202-71,BULBO_ACEITE_AUTOELEVADOR_MOTOR_TOYOTA_4Y_1DZ.webp
Toyota,PLACA_DISTANCIADORA_TRANSMSION_AUTOELEVADOR_TOYOTA_-_comprar_online.webp,PLACA DISTANCIADORA TRANSMSION AUTOELEVADOR TOYOTA,"Placa Aluminio Distanciadora Transmision Autoelevador TOYOTA
CODIGO 32111-23371-71
CODIGO 3201 42
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",32111-23371-71,PLACA_DISTANCIADORA_TRANSMSION_AUTOELEVADOR_TOYOTA.webp
Toyota,BOMBA_AGUA_COMPLETA_AUTOELEVADOR_MOTOR_TOYOTA_1DZ_SERIE_5-6_-_comprar_online.webp,BOMBA AGUA COMPLETA AUTOELEVADOR MOTOR TOYOTA 1DZ SERIE 5-6,"Bomba de Agua COMPLETA Autoelevador Toyota diesel 1DZ
Aplica a SERIE 5-6 Motor Diesel CODIGO 16100-78202-71
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25",16100-78202-71,BOMBA_AGUA_COMPLETA_AUTOELEVADOR_MOTOR_TOYOTA_1DZ_SERIE_5_6.webp
Toyota,BOMBA_AGUA_COMPLETA_AUTOELEVADOR_MOTOR_TOYOTA_1DZ_SERIE_7_-_comprar_online.webp,BOMBA AGUA COMPLETA AUTOELEVADOR MOTOR TOYOTA 1DZ SERIE 7,"Bomba de Agua COMPLETA Autoelevador Toyota diesel 1DZ
Aplica a SERIE 7 Motor Diesel CODIGO 16100-78203-71
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25",16100-78203-71,BOMBA_AGUA_COMPLETA_AUTOELEVADOR_MOTOR_TOYOTA_1DZ_SERIE_7.webp
Toyota,POLEA_BOMBA_DE_AGUA_AUTOELEVADOR_TOYOTA_MOTOR_NAFTA_4Y_-_comprar_online.webp,POLEA BOMBA DE AGUA AUTOELEVADOR TOYOTA MOTOR NAFTA 4Y,"Polea Bomba de Agua Autoelevador TOYOTA Motor NAFTA 4Y
Diametro Exterior 129mm
Altura total 54mm
Diametro Agujero 28.5mm
Distancia Entre Agujeros Fijacion 52mm
CODIGO 16371-78151-71
CODIGO 16371-UB020
CODIGO 1601 01
APLICACION SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",16371-78151-71,POLEA_BOMBA_DE_AGUA_AUTOELEVADOR_TOYOTA_MOTOR_NAFTA_4Y.webp
